timestamp,frame,L_knee,R_knee,L_hip,R_hip
2026-05-25T19:48:50.427,409,178.89,178.49,176.43,170.99
2026-05-25T19:48:50.528,410,178.6,179.99,178.11,173.0
2026-05-25T19:48:50.608,411,177.73,178.16,178.75,175.03
2026-05-25T19:48:50.705,412,178.34,178.67,177.36,174.98
2026-05-25T19:48:50.798,413,179.23,176.46,177.24,174.41
2026-05-25T19:48:50.911,414,179.69,177.2,178.5,170.81
2026-05-25T19:48:51.015,415,177.71,172.62,179.05,168.6
2026-05-25T19:48:51.125,416,177.9,173.53,178.31,168.5
2026-05-25T19:48:51.241,417,177.14,174.33,173.01,169.36
2026-05-25T19:48:51.348,418,178.53,173.76,174.11,168.93
